වචනය,"සමාන පදමාලාව"
අක්මාක්රේනය,"(පාරිභා.) [නා.] ග්ලැසියරයක් දිය වී දොළක් බවට හැරෙන ප්‍රදේශයෙහි, ඒ මගින් එ තෙක් ගෙන යනු ලබන ඇති පස් සහ කුඩා ගල්කැට ආදියෙන් යුත් තැන්පත්වූ ගොඩැල්ල."
අක්මාපැතැල්ලා,"(පාරිභා.) [නා.] ගව, එළු, බැටළු ආදි සතුන් ගේ පිත්ත ප්‍රණාලයේ සිටින ට්‍රෙමටෝඩා පණුවෙක්."
අක්මාව,"[නා.] හදවතට හා පෙණහලු දෙකට යට මහා ප්‍රාචීර පේශියට පහතින් ඇති විශාල ග්‍රන්ථිය; කැවුත්ත."
අක්මී,"[නා.ප්‍ර.] වේ තුඹස ඇතුළේ පිහිටි වදය; වේයන්ගේ කූඩුව; වේ වදය."
අක්මුල්,"[නා.ප්‍ර.] අග සහ මුල; පටන්ගැන්ම සහ අවසානය; දෙකෙළවර; ආදිය හා අන්තය."
"අක්යල් වී","(කථා.) [නා.ප්‍ර.] බැත මනින විට පළමු ව දෙවියන්ට පූජා කිරීමට වෙන් කරන වී ලාහ; අක්යාළ."
අක්රානියා,"(පාරිභා.) [නා.ප්‍ර.] කෝඩාටා වංශයේ කපාල හෝ හනු කශේරුකා හෝ සඟල වරල් හෝ නැති සතුන් ඇතුළත් මහා බෙදුම."
අක්ලිෂ්ට,"[වි.] කිලිටි නොවූ; පිවිතුරු."
අක්වටය,"(පාරිභා.) [නා.] වෘත්තාකාර හෝ අණ්ඩාකාර හැඩයක් දරන්නා වූ ද බොහෝ විට අංක දැක්වීමට සූචකයක් සවි කර ඇත්තා වූ ද ක්‍රමාංකිත තහඩුව; අංක මූණත (=dial)."
අක්වරුව,"(කථා.) [නා.] වී හුළං කිරීමේ දී හොඳ වී ගොඩ අගට එකතු වන හොඳින් කිරි නොවැදුණු කොටස."
"අක්ෂ කශේරුකාව","[නා.] බෙල්ලේ දෙවැනි කශේරුකාව."
"අක්ෂ ක්‍රීඩාව","[නා.] දාදු කැට දැමීමෙන් කරන ක්‍රීඩාව; දූ කෙළිය; සූදුව."
"අක්ෂ කීලය","(පාරිභා.) [නා.] ඇතැම් ප්‍රොටොසෝවා ජීවීන් ගේ සිහින්, නැමෙන-සුලු, ඓන්ද්‍රීය ස්වභාවය ගත් කූරක් වැනි අවයවය (= axostyle)."
"අක්ෂ දණ්ඩ","[නා.] වාහනයට රෝද සවි වී තිබෙන හරස් දණ්ඩ; ඇක්සලය; අලවංගුව (= axle)."
"අක්ෂ ධූර්තයා","[නා.] දු කෙළියෙහි ලොල් වූ තැනැත්තා."
"අක්ෂ භේදය","[නා.] පොළවේ අක්ෂය පිළිබඳ ස්ථානයන්ගේ වෙනස; අක්ෂාංශයන්ගේ වෙනස."
"අක්ෂ මාත්‍රාව","[නා.] බුළු ගෙඩියක ප්‍රමාණය; තුන් කළඳක බර."
"අක්ෂ මාලාව","[නා.] නවගුණවැල; ජපමාලය."
"අක්ෂ සූත්‍රය","[නා.] ජප කිරීමට භාවිත අක්ෂමාලාව; නවගුණවැල."
අක්ෂක,"[නා.ප්‍ර.] උරහිසෙහි ඉදිරිපස සිරස් අතට පිහිටි ඇටය; අකු ඇටය, අක්ෂකාස්ථිය.
[වි.] අක්ෂකාස්ථියට අයත්; අක්ෂයට සම්බන්ධ."
අක්ෂකාස්ථිය,"[අක්ෂක+අස්ථිය]
(පාරිභා.) [නා.] උරයෙහි ඉදිරිපසින් තිරස් අතට පිහිටි ඇටය; අකුඇටය(=collar bone)."
අක්ෂණ,"1. [වි.] අවස්ථාවට නොගැළපෙන; කාලෝචිත නොවන.
2. [වි.] බොහෝ කල් පවතින; චිරස්ථායි."
"අක්ෂණ දේශනාව","[නා.] කුසල් කිරීමට නුසුදුසු වූ හෝ අවකාශ වූ කාල අට පිළිබඳ ව කරන දේශනාව."
අක්ෂම,"[වි.] නොහැකි, බැරි, නොසමත්."
අක්ෂය,"1. [නා.] රථයක අලවංගුව; අක්ෂ දණ්ඩ.
2. [නා.] යම්කිසි වස්තුවක් තුළින් ගමන් කරතැයි සැලකෙන සත්‍ය වූ හෝ කල්පිත වූ සරල රේඛාව.
3. [නා.] සමාකාර ව දෙපැත්තට විහිදෙන ශාඛා දරා සිටින ඕනෑ ම ශාක කොටසක්; පාර්ශ්වික ශාඛා ඇති ශාක කැබැල්ල.
4. [නා.] දාදු කැටය; පස ඇටය; දාදුව.
5. [නා.] ජපමාලා සෑදීමට ගන්නා රුද්‍රාක්ෂ ආදි ඇට.
6. [නා.] බර ප්‍රමාණයක්; තුන් කළඳ.
7. [නා.] ඇස, නේත්‍රය; අක්ෂිය.
8. [නා.] විනිශ්චය; තීරණය.
9. [නා.] උසාවිය.
[වි.] අඩු නොවන; නොගෙවෙන; ක්ෂය නොවන."
අක්ෂර,"[වි.] නොනස්නා; ක්ෂය නොවන.
[නා.ප්‍ර.] අකුර."
"අක්ෂර කෞශල්‍යය","[නා.] කියවීමෙහි හා ලිවීමෙහි සමත්කම; අක්ෂර විද්‍යාවෙහි නිපුණ බව; උගත්කම."
"අක්ෂර දෝෂය","[නා.] අකුරු පිළිවෙළ වෙනස් වීමෙන් වන වරද; අකුරෙහි දෝෂය; වැරදි වර්ණ වින්‍යාසය."
"අක්ෂර මාලාව","[නා.] හෝඩිය; වර්ණමාලාව; අක්ෂරාවලිය."
"අක්ෂර වින්‍යාසය","[නා.] අකුරු යෙදීමේ පිළිවෙළ; අකුරු නිසි පරිදි ව්‍යවහාර කිරීම."
අක්ෂරය,"[නා.] අකුර"
අක්ෂරාගමය,"[අක්ෂර+ආගමය]
(ව්‍යාක.) [නා.] අමුතුවෙන් අකුරක් පැමිණවීම; බාහිර හෝ අභ්‍යන්තර සන්ධියක දී අකුරක් අමුතුවෙන් පැමිණවීම; අකුර ආගම වීම."
අක්ෂරාදේශය,"[අක්ෂර+ආදේශය]
(ව්‍යාක.) [නා.] අකුරක් වෙනුවට අන් අකුරක් පැමිණීම නොහොත් පැමිණවීම."
අක්ෂරාභ්‍යාසය,"[අක්ෂර+අභ්‍යාසය]
[නා.] ලිවීම හා කියවීම පුරුදු වීම; අකුරු ඉගෙනීම; අකුරු පුහුණු කිරීම."
අක්ෂරෝච්චාරණය,"[අක්ෂර+උච්චාරණය]
[නා.] අකුරු හරිහැටි ශබ්ද කිරීම; අකුරුවලට පාදක වූ ශබ්ද උත්පත්ති ස්ථාන අනුව නියම ලෙස උච්චාරණය කිරීම."
අක්ෂරෝත්පත්තිය,"[අක්ෂර+උත්පත්තිය]
[නා.] අකුරු ඉපදීම; අකුරු හටගැනීම; අක්ෂරවල උපත."
අක්ෂාංශය,"[නා.] සමකයේ සිට උතුරු දෙසට හෝ දකුණු දෙසට අංශකවලින් මනිනු ලබන දුර ප්‍රමාණය; සමකයේ පටන් නියමිත කෝෂික දුරක් ඇති ස්ථානය; කක්ෂතලයේ පටන් ඇති කෝණික දුර."
අක්ෂාම්‍ය,"[වි.] ඉවසිය නොහැකි; ක්ෂමා කළ නොහැකි."
"අක්ෂාර ලවණ","[නා.ප්‍ර.] මූදු ලුණු; සවිඳ ලුණු."
අක්ෂි,"[නා.ප්‍ර.] ඇස; අක්ෂිය"
"අක්ෂි උන්මීලනය","[නා.] ඇස ඇරීම; ඇස් විදහා බැලීම."
"අක්ෂි කාචය","1. (පාරිභා.) [නා.] ඇසෙහි විනිවිද පෙනෙන ලක්ෂණයෙන් යුත් කොට (=eye lens).
2. [නා.] ඇසෙහි සෑදෙන පටල රෝගයක්."
"අක්ෂි කූටය","1. [නා.] ඇස් ගුළිය; අක්ෂි ගෝලය.
2. [නා.] ඇසට ඉහළින් නෙරා සිටි කොටස."
"අක්ෂි කූපය","[නා.] ඇස් ගෙඩිය පිහිටා තිබෙන කුහරය; ඇස් වළ; ඇස් කෙවෙණිය."
"අක්ෂි ගුලය, අක්ෂි ගෝලය","[නා.] ඇසෙහි ගෝලයක් වැනි කොටස; ඇස් ගුළිය."
"අක්ෂි ගූථය","[නා.] ඇසින් වැගිරෙන මල; කබ."
"අක්ෂි ධාරා","[නා.බහු.] ඇසින් වැගිරෙන දියර; කඳුළු."
"අක්ෂි නිමේෂය","1. [නා.] ඇසිපිය ගැසීම.
2. [නා.] ඇසිපිය ගැසීමට ගතවන කාලය; ඇසිල්ල."
